epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1836.32,0.42121,0.34024,0.86952,0.9557,0.9875,0.98964,0.92474,0.40356,0.26023,0.79838,0.000317,0.000317,0.000317
87,1856.78,0.42139,0.33913,0.86228,0.95989,0.9875,0.98877,0.92341,0.3915,0.24635,0.79837,0.0002972,0.0002972,0.0002972
88,1877.22,0.41223,0.32432,0.86188,0.95535,0.9875,0.98708,0.92048,0.40098,0.25909,0.80202,0.0002774,0.0002774,0.0002774
89,1897.64,0.41985,0.35103,0.86446,0.95747,0.98487,0.98583,0.91748,0.40972,0.25816,0.80394,0.0002576,0.0002576,0.0002576
90,1918.1,0.41705,0.33449,0.8608,0.95412,0.98125,0.98735,0.91652,0.43427,0.27375,0.81037,0.0002378,0.0002378,0.0002378
91,1951.78,0.4083,0.32686,0.85824,0.95875,0.98125,0.98748,0.91454,0.42134,0.26395,0.80515,0.000218,0.000218,0.000218
92,1971.88,0.39467,0.30702,0.85711,0.95955,0.98125,0.9905,0.92006,0.4296,0.26749,0.81102,0.0001982,0.0001982,0.0001982
93,1991.98,0.38976,0.30507,0.85161,0.95751,0.98583,0.99345,0.91643,0.42109,0.26853,0.8091,0.0001784,0.0001784,0.0001784
94,2012.13,0.39648,0.30868,0.85349,0.95733,0.98148,0.99227,0.91864,0.42303,0.26682,0.80735,0.0001586,0.0001586,0.0001586
95,2032.2,0.38244,0.30874,0.85882,0.95535,0.9875,0.99306,0.91748,0.4414,0.28423,0.81188,0.0001388,0.0001388,0.0001388
96,2052.38,0.38234,0.31167,0.84955,0.95617,0.9875,0.99185,0.91981,0.42451,0.276,0.81106,0.000119,0.000119,0.000119
97,2072.35,0.38788,0.31167,0.85282,0.95855,0.98125,0.99252,0.91519,0.43747,0.27105,0.81247,9.92e-05,9.92e-05,9.92e-05
98,2092.36,0.37942,0.30578,0.84911,0.95734,0.98191,0.99138,0.91838,0.41667,0.26597,0.80756,7.94e-05,7.94e-05,7.94e-05
99,2112.32,0.38331,0.31209,0.85098,0.95751,0.98599,0.99196,0.91913,0.42368,0.26642,0.80806,5.96e-05,5.96e-05,5.96e-05
100,2132.41,0.37929,0.2975,0.84263,0.9575,0.98558,0.99217,0.91849,0.42707,0.2663,0.80998,3.98e-05,3.98e-05,3.98e-05
